"Stasjonskode"	"Abs254_[-]"	"Abs280_[-]"	"Abs285_[-]"	"Abs365_[-]"	"Abs400_[-]"	"Abs410_[-]"	"Prøvenr"	"Stasjonsnavn"	"Station.ID"	"Station.name"	"Date"	"DOC"	"TOC"	"E2-E3_[-]"	"HI_[-]"	"sUVa_l/mg"	"sVISa_l/mg"	"SAR_[-]"
"1"	"1001-1-55"	0.423840612	0.333274305	0.312577546	0.090593301	0.048153054	0.041979846	"DOM13495"	"Skeivatnet"	3331	"Skeivatnet"	"30.10.2019"	9.7	9.2	4.67849838036038	0.737488426427621	4.36949084536083	4.32781917525773	10.0962879187313
"2"	"1001-2-204"	0.252549201	0.196242303	0.183422446	0.057845145	0.033811752	0.027577037	"DOM13494"	"Vassvann"	38691	"Vassvann"	"29.10.2019"	6.8	6.8	4.36595328786884	0.726284008318838	3.71395883823529	4.05544661764706	9.15795271986617
"3"	"1002-1-62"	0.3483679	0.269611985	0.25438261	0.083193928	0.044111803	0.037968218	"DOM13529"	"Vråvatn"	3333	"Vr†vatn"	"30.10.2019"	8.3	7.6	4.18741978380922	0.730212542544821	4.19720361445783	4.57448409638554	9.17525020531646
"4"	"1003-1-16"	0.153042942	0.113168128	0.107112564	0.042742953	0.023279099	0.023060499	"DOM13476"	"HOH 130"	3334	"HOH 130"	"30.10.2019"	3.5	3.6	3.58054208374419	0.699885683065345	4.37265548571428	6.588714	6.63658414330063
"5"	"1003-1-18"	0.099033535	0.074979268	0.071485974	0.023630191	0.015505319	0.014677293	"DOM13473"	"HOH 14"	3335	"HOH 14"	"30.10.2019"	3	3.3	4.1909747999921	0.721836032612589	3.30111783333333	4.892431	6.74739783419191
"6"	"1003-2-2"	1.040513038	0.81678325	0.770479262	0.29715386	0.161119834	0.14012146	"DOM13474"	"Brastadvatnet"	3336	"Brastadvatnet"	"30.10.2019"	17.8	18.7	3.50159691009903	0.7404801610953	5.84557886516854	7.87199213483146	7.42579357937035
"7"	"1003-2-4"	0.171360374	0.131296843	0.12574257	0.044021726	0.024916055	0.023929322	"DOM13475"	"Saudlandsvatnet"	42	"Saudlandsvatnet"	"30.10.2019"	3.3	3.4	3.89263187908625	0.733790240210377	5.19273860606061	7.2513096969697	7.16110443914792
"8"	"1004-1-2"	0.334265918	0.258799315	0.243941665	0.066461705	0.035174422	0.030472985	"DOM13481"	"Engelsvatnet"	3337	"Engelsvatnet"	"30.10.2019"	8.1	7.8	5.02945144124726	0.729783241018308	4.12673972839506	3.76209691358025	10.9692541771015
"9"	"1004-1-21"	0.122315176	0.096645691	0.089342929	0.029530715	0.016987184	0.012778817	"DOM13484"	"Skultjørnan"	3338	"Skultj?rnan"	"31.10.2019"	2.5	2.7	4.14196459516812	0.730432084731661	4.89260704	5.1115268	9.5717135631569
"10"	"1004-1-22"	0.109629251	0.088903762	0.083117694	0.028701728	0.016153349	0.013662313	"DOM13538"	"Skrubbedalstjørna"	3339	"Skrubbedalstj?rna"	"31.10.2019"	2	2.2	3.81960455481984	0.758170773236424	5.48146255	6.8311565	8.0242087119509
