station_id,year,variable,value
9,1979,ro,303.35913
9,1979,t2m,4.8584533
9,1979,tp,950.88043
9,1980,ro,332.18652
9,1980,t2m,5.670587
9,1980,tp,890.31177
9,1981,ro,388.12296
9,1981,t2m,5.498895
9,1981,tp,866.27454
9,1982,ro,447.97015
9,1982,t2m,6.661157
9,1982,tp,945.5254
9,1983,ro,458.2351
9,1983,t2m,7.236688
9,1983,tp,788.7913
9,1984,ro,285.10095
9,1984,t2m,6.863336
9,1984,tp,938.7123
9,1985,ro,407.1547
9,1985,t2m,4.396112
9,1985,tp,968.65857
9,1986,ro,341.8101
9,1986,t2m,5.460901
9,1986,tp,862.2603
9,1987,ro,473.20276
9,1987,t2m,4.482019
9,1987,tp,913.13416
9,1988,ro,456.69156
9,1988,t2m,6.8929687
9,1988,tp,1075.1882
9,1989,ro,294.70462
9,1989,t2m,8.048517
9,1989,tp,770.1886
9,1990,ro,311.07495
9,1990,t2m,8.184961
9,1990,tp,881.4761
9,1991,ro,158.81383
9,1991,t2m,7.159265
9,1991,tp,724.14014
9,1992,ro,258.87296
9,1992,t2m,7.560571
9,1992,tp,746.7675
9,1993,ro,263.60748
9,1993,t2m,6.3371215
9,1993,tp,732.65924
9,1994,ro,351.77966
9,1994,t2m,6.7521605
9,1994,tp,780.9649
9,1995,ro,338.68118
9,1995,t2m,6.9011474
9,1995,tp,835.274
9,1996,ro,126.50327
9,1996,t2m,5.7300353
9,1996,tp,648.3709
9,1997,ro,227.77826
9,1997,t2m,7.478296
9,1997,tp,720.80865
9,1998,ro,301.76663
9,1998,t2m,6.7932067
9,1998,tp,919.51385
9,1999,ro,534.12897
9,1999,t2m,7.3094726
9,1999,tp,1162.457
9,2000,ro,592.88336
9,2000,t2m,8.113459
9,2000,tp,1163.9612
9,2001,ro,423.78455
9,2001,t2m,6.5920043
9,2001,tp,828.20325
9,2002,ro,265.46997
9,2002,t2m,7.4364257
9,2002,tp,838.5025
9,2003,ro,326.32007
9,2003,t2m,7.1498046
9,2003,tp,824.9675
9,2004,ro,446.46246
9,2004,t2m,7.2345214
9,2004,tp,950.53827
9,2005,ro,334.74652
9,2005,t2m,7.632501
9,2005,tp,751.0702
9,2006,ro,511.6561
9,2006,t2m,7.833734
9,2006,tp,1089.5398
9,2007,ro,463.0875
9,2007,t2m,7.797998
9,2007,tp,964.0272
9,2008,ro,565.4192
9,2008,t2m,8.138483
9,2008,tp,1028.9448
9,2009,ro,430.28766
9,2009,t2m,6.89541
9,2009,tp,942.38367
9,2010,ro,382.32898
9,2010,t2m,4.6033874
9,2010,tp,775.6789
9,2011,ro,407.62128
9,2011,t2m,7.678827
9,2011,tp,1021.9923
9,2012,ro,450.4863
9,2012,t2m,6.745813
9,2012,tp,1086.233
9,2013,ro,251.6704
9,2013,t2m,6.8506103
9,2013,tp,848.87286
9,2014,ro,537.091
9,2014,t2m,8.524347
9,2014,tp,1169.3872
9,2015,ro,401.50568
9,2015,t2m,7.9587646
9,2015,tp,993.56433
9,2016,ro,300.7602
9,2016,t2m,7.5284057
9,2016,tp,751.54596
9,2017,ro,229.75098
9,2017,t2m,7.6014953
9,2017,tp,845.64923
9,2018,ro,265.37878
9,2018,t2m,7.956018
9,2018,tp,679.59106
9,2019,ro,324.08774
9,2019,t2m,7.911096
9,2019,tp,1126.5865
10,1979,ro,235.72768
10,1979,t2m,3.77984
10,1979,tp,927.8809
10,1980,ro,304.92496
10,1980,t2m,4.430536
10,1980,tp,866.6497
10,1981,ro,347.95404
10,1981,t2m,4.295648
10,1981,tp,849.1532
10,1982,ro,429.7215
10,1982,t2m,5.58761
10,1982,tp,943.4341
10,1983,ro,360.70407
10,1983,t2m,6.2324157
10,1983,tp,734.5404
10,1984,ro,247.70583
10,1984,t2m,5.8194823
10,1984,tp,934.0045
10,1985,ro,370.13943
10,1985,t2m,3.309259
10,1985,tp,950.07007
10,1986,ro,235.19542
10,1986,t2m,4.5667357
10,1986,tp,842.4073
10,1987,ro,418.1303
10,1987,t2m,3.5022216
10,1987,tp,967.34296
10,1988,ro,419.16547
10,1988,t2m,5.6787963
10,1988,tp,1044.6302
10,1989,ro,332.77896
10,1989,t2m,7.090936
10,1989,tp,760.86993
10,1990,ro,216.29973
10,1990,t2m,7.1695495
10,1990,tp,919.36633
10,1991,ro,159.10048
10,1991,t2m,6.045282
10,1991,tp,737.19574
10,1992,ro,241.72783
10,1992,t2m,6.5966125
10,1992,tp,746.5304
10,1993,ro,261.8557
10,1993,t2m,5.3420653
10,1993,tp,780.7833
10,1994,ro,263.971
10,1994,t2m,5.682031
10,1994,tp,750.7643
10,1995,ro,221.07614
10,1995,t2m,5.6039367
10,1995,tp,804.5769
10,1996,ro,63.531876
10,1996,t2m,4.6911864
10,1996,tp,720.66693
10,1997,ro,158.48814
10,1997,t2m,6.6376586
10,1997,tp,741.71173
10,1998,ro,224.52554
10,1998,t2m,5.940149
10,1998,tp,873.445
10,1999,ro,347.5217
10,1999,t2m,6.2749267
10,1999,tp,1017.9119
10,2000,ro,518.4251
10,2000,t2m,7.206079
10,2000,tp,1181.6725
10,2001,ro,374.18954
10,2001,t2m,5.3973327
10,2001,tp,843.8739
10,2002,ro,247.00032
10,2002,t2m,6.1057982
10,2002,tp,828.57434
10,2003,ro,152.86818
10,2003,t2m,6.0710998
10,2003,tp,777.4891
10,2004,ro,287.89935
10,2004,t2m,6.186731
10,2004,tp,880.0564
10,2005,ro,251.95271
10,2005,t2m,6.661859
10,2005,tp,762.80084
10,2006,ro,380.0596
10,2006,t2m,6.821161
10,2006,tp,995.0542
10,2007,ro,368.34467
10,2007,t2m,6.637811
10,2007,tp,895.766
10,2008,ro,344.64438
10,2008,t2m,7.0990844
10,2008,tp,990.6545
10,2009,ro,312.01288
10,2009,t2m,5.8163695
10,2009,tp,977.63324
10,2010,ro,353.40482
10,2010,t2m,3.4509215
10,2010,tp,826.483
10,2011,ro,551.27325
10,2011,t2m,6.6574035
10,2011,tp,1017.10785
10,2012,ro,314.75644
10,2012,t2m,5.8250365
10,2012,tp,1060.0873
10,2013,ro,219.50912
10,2013,t2m,5.8859496
10,2013,tp,823.80084
10,2014,ro,428.35272
10,2014,t2m,7.4448485
10,2014,tp,1112.7593
10,2015,ro,402.4898
10,2015,t2m,6.9580626
10,2015,tp,972.45905
10,2016,ro,376.84467
10,2016,t2m,6.3901916
10,2016,tp,846.8768
10,2017,ro,183.6121
10,2017,t2m,6.458307
10,2017,tp,872.0717
10,2018,ro,292.9317
10,2018,t2m,6.790399
10,2018,tp,691.25653
10,2019,ro,503.14413
10,2019,t2m,6.567468
10,2019,tp,1091.7716
11,1979,ro,250.21365
11,1979,t2m,3.4736876
11,1979,tp,958.5283
11,1980,ro,250.33385
11,1980,t2m,3.9643798
11,1980,tp,837.92114
11,1981,ro,373.6011
11,1981,t2m,3.875482
11,1981,tp,881.4864
11,1982,ro,421.98862
11,1982,t2m,5.1926208
11,1982,tp,891.55414
11,1983,ro,333.6783
11,1983,t2m,5.823053
11,1983,tp,741.2981
11,1984,ro,299.49252
11,1984,t2m,5.491998
11,1984,tp,920.6011
11,1985,ro,447.03372
11,1985,t2m,2.659082
11,1985,tp,977.9414
11,1986,ro,292.6443
11,1986,t2m,4.148065
11,1986,tp,854.48
11,1987,ro,450.1997
11,1987,t2m,3.0856261
11,1987,tp,945.9051
11,1988,ro,418.95367
11,1988,t2m,5.179254
11,1988,tp,1025.0756
11,1989,ro,380.19934
11,1989,t2m,6.650018
11,1989,tp,768.61273
11,1990,ro,277.04474
11,1990,t2m,6.7102904
11,1990,tp,985.9825
11,1991,ro,275.4925
11,1991,t2m,5.5955443
11,1991,tp,758.1315
11,1992,ro,290.8121
11,1992,t2m,6.1712584
11,1992,tp,768.2895
11,1993,ro,233.50853
11,1993,t2m,4.888452
11,1993,tp,797.6516
11,1994,ro,292.01608
11,1994,t2m,5.258722
11,1994,tp,711.64215
11,1995,ro,280.70883
11,1995,t2m,4.8836303
11,1995,tp,791.72205
11,1996,ro,86.57603
11,1996,t2m,4.2042174
11,1996,tp,708.439
11,1997,ro,245.47467
11,1997,t2m,6.1569457
11,1997,tp,833.50085
11,1998,ro,277.58224
11,1998,t2m,5.4361815
11,1998,tp,870.4708
11,1999,ro,338.96548
11,1999,t2m,5.801904
11,1999,tp,1018.01337
11,2000,ro,607.09534
11,2000,t2m,6.82937
11,2000,tp,1212.4873
11,2001,ro,319.00357
11,2001,t2m,4.938806
11,2001,tp,868.9366
11,2002,ro,319.9289
11,2002,t2m,5.52276
11,2002,tp,860.4734
11,2003,ro,119.44884
11,2003,t2m,5.7278686
11,2003,tp,752.8419
11,2004,ro,289.37567
11,2004,t2m,5.64129
11,2004,tp,906.16095
11,2005,ro,256.2541
11,2005,t2m,6.183557
11,2005,tp,761.54736
11,2006,ro,415.8841
11,2006,t2m,6.36358
11,2006,tp,1014.4762
11,2007,ro,312.27805
11,2007,t2m,6.1806884
11,2007,tp,844.4199
11,2008,ro,308.30713
11,2008,t2m,6.643579
11,2008,tp,1018.2978
11,2009,ro,337.77145
11,2009,t2m,5.3847594
11,2009,tp,998.5757
11,2010,ro,382.87515
11,2010,t2m,3.0900512
11,2010,tp,881.3058
11,2011,ro,490.67825
11,2011,t2m,6.3167663
11,2011,tp,1030.7461
11,2012,ro,397.19196
11,2012,t2m,5.2234435
11,2012,tp,1060.9369
11,2013,ro,201.36674
11,2013,t2m,5.4529967
11,2013,tp,778.77374
11,2014,ro,412.2826
11,2014,t2m,6.938989
11,2014,tp,1095.7822
11,2015,ro,376.1042
11,2015,t2m,6.5378966
11,2015,tp,958.7479
11,2016,ro,321.62927
11,2016,t2m,6.0493712
11,2016,tp,825.60834
11,2017,ro,161.46501
11,2017,t2m,5.9544005
11,2017,tp,889.7767
11,2018,ro,226.23155
11,2018,t2m,6.473169
11,2018,tp,673.31464
11,2019,ro,388.40402
11,2019,t2m,6.232202
11,2019,tp,1068.3564
12,1979,ro,205.19395
12,1979,t2m,3.094873
12,1979,tp,907.9603
12,1980,ro,173.65973
12,1980,t2m,3.5957885
12,1980,tp,812.973
12,1981,ro,276.57938
12,1981,t2m,3.5269713
12,1981,tp,787.13947
12,1982,ro,317.5525
12,1982,t2m,4.959924
12,1982,tp,840.09625
12,1983,ro,251.57642
12,1983,t2m,5.6681457
12,1983,tp,691.34235
12,1984,ro,165.95746
12,1984,t2m,5.259332
12,1984,tp,876.96466
12,1985,ro,335.28717
12,1985,t2m,2.5300841
12,1985,tp,944.1544
12,1986,ro,197.11633
12,1986,t2m,3.9962401
12,1986,tp,779.27374
12,1987,ro,362.07208
12,1987,t2m,2.6380858
12,1987,tp,989.4954
12,1988,ro,379.66904
12,1988,t2m,4.959314
12,1988,tp,970.4043
12,1989,ro,303.73495
12,1989,t2m,6.5003295
12,1989,tp,781.8973
12,1990,ro,192.31163
12,1990,t2m,6.601892
12,1990,tp,911.42377
12,1991,ro,133.86827
12,1991,t2m,5.314264
12,1991,tp,732.84485
12,1992,ro,212.43869
12,1992,t2m,5.955194
12,1992,tp,747.212
12,1993,ro,160.79059
12,1993,t2m,4.7525573
12,1993,tp,769.9372
12,1994,ro,247.89375
12,1994,t2m,5.01214
12,1994,tp,693.4167
12,1995,ro,164.27184
12,1995,t2m,4.799005
12,1995,tp,803.1987
12,1996,ro,48.83373
12,1996,t2m,3.8888793
12,1996,tp,695.5922
12,1997,ro,121.81887
12,1997,t2m,6.087854
12,1997,tp,757.9329
12,1998,ro,158.32376
12,1998,t2m,5.4745727
12,1998,tp,849.2118
12,1999,ro,323.1709
12,1999,t2m,5.5692077
12,1999,tp,951.41205
12,2000,ro,356.273
12,2000,t2m,6.5877624
12,2000,tp,1073.5006
12,2001,ro,283.17874
12,2001,t2m,4.679193
12,2001,tp,824.18365
12,2002,ro,247.47493
12,2002,t2m,5.2939696
12,2002,tp,826.16504
12,2003,ro,78.35585
12,2003,t2m,5.428491
12,2003,tp,717.4559
12,2004,ro,226.52055
12,2004,t2m,5.5746703
12,2004,tp,851.1463
12,2005,ro,225.51724
12,2005,t2m,6.08822
12,2005,tp,774.42194
12,2006,ro,282.92953
12,2006,t2m,6.212732
12,2006,tp,932.0369
12,2007,ro,275.80423
12,2007,t2m,6.0425353
12,2007,tp,823.42615
12,2008,ro,197.09045
12,2008,t2m,6.5416503
12,2008,tp,916.8657
12,2009,ro,212.80579
12,2009,t2m,5.195581
12,2009,tp,924.53613
12,2010,ro,260.41214
12,2010,t2m,2.8254638
12,2010,tp,791.6488
12,2011,ro,517.94617
12,2011,t2m,5.99328
12,2011,tp,1016.38293
12,2012,ro,420.40244
12,2012,t2m,5.0722594
12,2012,tp,983.88965
12,2013,ro,191.96172
12,2013,t2m,5.272424
12,2013,tp,808.2339
12,2014,ro,329.99048
12,2014,t2m,7.0378356
12,2014,tp,1057.5795
12,2015,ro,208.21857
12,2015,t2m,6.481134
12,2015,tp,923.9937
12,2016,ro,260.61438
12,2016,t2m,6.1184936
12,2016,tp,804.8663
12,2017,ro,112.34692
12,2017,t2m,5.9483275
12,2017,tp,860.46216
12,2018,ro,140.34738
12,2018,t2m,6.310144
12,2018,tp,678.06354
12,2019,ro,190.81273
12,2019,t2m,6.028314
12,2019,tp,998.6539
13,1979,ro,312.00452
13,1979,t2m,2.3709044
13,1979,tp,965.2202
13,1980,ro,356.00983
13,1980,t2m,2.8112426
13,1980,tp,884.3725
13,1981,ro,334.10114
13,1981,t2m,2.7659545
13,1981,tp,833.77814
13,1982,ro,376.42947
13,1982,t2m,4.079553
13,1982,tp,896.6129
13,1983,ro,395.28683
13,1983,t2m,4.748712
13,1983,tp,715.89484
13,1984,ro,270.75357
13,1984,t2m,4.408685
13,1984,tp,895.5375
13,1985,ro,431.05606
13,1985,t2m,1.5934387
13,1985,tp,999.4047
13,1986,ro,392.81494
13,1986,t2m,3.1214538
13,1986,tp,884.6475
13,1987,ro,482.07867
13,1987,t2m,1.9034668
13,1987,tp,980.7169
13,1988,ro,413.2349
13,1988,t2m,4.1164794
13,1988,tp,939.38
13,1989,ro,359.11758
13,1989,t2m,5.547174
13,1989,tp,816.1985
13,1990,ro,281.14673
13,1990,t2m,5.5859313
13,1990,tp,986.91614
13,1991,ro,359.15384
13,1991,t2m,4.4018493
13,1991,tp,814.7394
13,1992,ro,309.103
13,1992,t2m,4.9146056
13,1992,tp,826.9427
13,1993,ro,246.01581
13,1993,t2m,3.781427
13,1993,tp,848.35547
13,1994,ro,269.35327
13,1994,t2m,4.060846
13,1994,tp,683.1881
13,1995,ro,267.06525
13,1995,t2m,3.626947
13,1995,tp,812.7276
13,1996,ro,115.60127
13,1996,t2m,2.9898925
13,1996,tp,700.72845
13,1997,ro,231.27344
13,1997,t2m,4.994592
13,1997,tp,851.6699
13,1998,ro,405.9217
13,1998,t2m,4.3926024
13,1998,tp,884.7978
13,1999,ro,526.496
13,1999,t2m,4.61593
13,1999,tp,991.9647
13,2000,ro,589.7993
13,2000,t2m,5.544336
13,2000,tp,1142.4729
13,2001,ro,358.82574
13,2001,t2m,3.7315612
13,2001,tp,875.4868
13,2002,ro,395.7085
13,2002,t2m,4.365167
13,2002,tp,900.5127
13,2003,ro,155.99234
13,2003,t2m,4.535852
