par,region,p_val,signif
ALK,Østlandet,0.0022316890591614243,yes
ALK,Sørlandet,7.439354333091714e-22,yes
ALK,Vestlandet,9.686750420696078e-32,yes
ALK,Midt-Norge,0.009942333968756923,yes
ALK,Nord-Norge,0.7493391484188683,no
Al/Il,Østlandet,0.11029455750995859,no
Al/Il,Sørlandet,0.04889647779141174,yes
Al/Il,Vestlandet,2.9586419198653213e-11,yes
Al/Il,Midt-Norge,0.013090742005659054,yes
Al/Il,Nord-Norge,2.013837948917092e-36,yes
Al/R,Østlandet,0.009150677326026015,yes
Al/R,Sørlandet,1.822602245440085e-15,yes
Al/R,Vestlandet,2.853079747413897e-19,yes
Al/R,Midt-Norge,0.7271981371168248,no
Al/R,Nord-Norge,4.765469438013145e-11,yes
As,Østlandet,0.25859102949658513,no
As,Sørlandet,0.17083179645286964,no
As,Vestlandet,0.006830192472945192,yes
As,Midt-Norge,0.35860546018112477,no
As,Nord-Norge,0.36937400978551094,no
Ca,Østlandet,0.0016609335142571378,yes
Ca,Sørlandet,0.08188455085223578,no
Ca,Vestlandet,5.031559413265314e-12,yes
Ca,Midt-Norge,2.0944955101834674e-06,yes
Ca,Nord-Norge,7.902573144712304e-05,yes
Cd,Østlandet,1.1026605396884934e-10,yes
Cd,Sørlandet,1.0186069265209386e-06,yes
Cd,Vestlandet,8.249350683860433e-18,yes
Cd,Midt-Norge,6.555168794902416e-06,yes
Cd,Nord-Norge,3.7531770732000845e-08,yes
Cl,Østlandet,0.5652580649767879,no
Cl,Sørlandet,1.279020662893822e-13,yes
Cl,Vestlandet,0.0010076257248535505,yes
Cl,Midt-Norge,0.0710503611161274,no
Cl,Nord-Norge,0.051842612498820655,no
Co,Østlandet,0.04172874339829498,yes
Co,Sørlandet,5.278841453842624e-06,yes
Co,Vestlandet,0.0024025421045014,yes
Co,Midt-Norge,0.034890342286988014,yes
Co,Nord-Norge,0.0366510182824087,yes
Cr,Østlandet,0.4818968247474448,no
Cr,Sørlandet,0.2083361245583255,no
Cr,Vestlandet,3.6533093809901974e-08,yes
Cr,Midt-Norge,0.00785861945736731,yes
Cr,Nord-Norge,0.44066994639018475,no
Cu,Østlandet,4.329930872776308e-05,yes
Cu,Sørlandet,0.04970670947838802,yes
Cu,Vestlandet,3.2178954256613543e-10,yes
Cu,Midt-Norge,0.11761984533108497,no
Cu,Nord-Norge,2.0785456957065407e-07,yes
F,Østlandet,1.95676839358356e-26,yes
F,Sørlandet,2.416046639363553e-35,yes
F,Vestlandet,2.112444680137114e-99,yes
F,Midt-Norge,6.446972908278813e-67,yes
F,Nord-Norge,2.388513206505025e-47,yes
Fe,Østlandet,0.7106168501428449,no
Fe,Sørlandet,9.932405319274276e-05,yes
Fe,Vestlandet,0.9086579391490157,no
Fe,Midt-Norge,0.0011819618941637533,yes
Fe,Nord-Norge,0.01710432634197201,yes
KOND,Østlandet,0.3364296547337793,no
KOND,Sørlandet,2.3144176057401676e-16,yes
KOND,Vestlandet,0.036095309515703757,yes
KOND,Midt-Norge,0.0012694798784108193,yes
KOND,Nord-Norge,0.008207399884065936,yes
K,Østlandet,0.17547580222727954,no
K,Sørlandet,2.3096541783961563e-15,yes
K,Vestlandet,1.2638352740814715e-07,yes
K,Midt-Norge,0.1845419880397743,no
K,Nord-Norge,0.16404816872872724,no
Mg,Østlandet,0.028584700705608024,yes
Mg,Sørlandet,4.237170588720238e-07,yes
Mg,Vestlandet,0.17568092498019583,no
Mg,Midt-Norge,2.2008117999487074e-05,yes
Mg,Nord-Norge,0.03279307680386904,yes
Mn,Østlandet,0.04720536697445933,yes
Mn,Sørlandet,5.057839002377187e-07,yes
Mn,Vestlandet,0.15963173816796808,no
Mn,Midt-Norge,0.4694510036619549,no
Mn,Nord-Norge,0.08658322736577823,no
NH4-N,Østlandet,0.2652711492237016,no
NH4-N,Vestlandet,0.00030740413010239267,yes
NH4-N,Sørlandet,0.00762581436174185,yes
NH4-N,Midt-Norge,0.5775026126157956,no
NH4-N,Nord-Norge,0.4273628730751111,no
NO3-N,Østlandet,0.7280897786827892,no
NO3-N,Sørlandet,3.367424159803845e-25,yes
NO3-N,Vestlandet,1.1653842694644547e-34,yes
NO3-N,Midt-Norge,0.912357604155764,no
NO3-N,Nord-Norge,2.2720038521585404e-06,yes
Na,Østlandet,0.02657937782872062,yes
Na,Sørlandet,0.00030217429055756775,yes
Na,Vestlandet,0.11543570819709556,no
Na,Midt-Norge,0.010949432522464985,yes
Na,Nord-Norge,0.91995665090436,no
Ni,Østlandet,1.4186538888616386e-05,yes
Ni,Sørlandet,7.71573758178722e-17,yes
Ni,Vestlandet,1.9013490944672476e-10,yes
Ni,Midt-Norge,5.220862567303673e-08,yes
Ni,Nord-Norge,0.010566733917627039,yes
Pb,Østlandet,3.490275477581579e-10,yes
Pb,Sørlandet,4.688450043414932e-06,yes
Pb,Vestlandet,2.482453735606144e-10,yes
Pb,Midt-Norge,1.76978669422475e-14,yes
Pb,Nord-Norge,0.06015595045334052,no
